Function Evaluation,Energy (Hartree)
1,-2020.9441596841116
2,-2021.1907487440956
3,-2021.3930062147438
4,-2021.4267756282604
5,-2021.3635936921005
6,-2021.459856411371
7,-2021.5117895835242
8,-2021.5586969881313
9,-2021.5209271171789
10,-2021.5310136273272
11,-2021.5210905995746
12,-2021.5787469056281
13,-2021.562681669294
14,-2021.5568617098977
15,-2021.553893072304
16,-2021.5296338674004
17,-2021.5703235278177
18,-2021.3384441640364
19,-2021.6508521892263
20,-2021.6760920566849
21,-2021.679042592845
22,-2021.6635515691821
23,-2021.720200371914
24,-2021.7518890553547
25,-2021.6810395088742
26,-2021.6896432879594
27,-2021.747275393465
28,-2021.7089511129484
29,-2021.7552127585013
30,-2021.7131073964947
31,-2021.715182132386
32,-2021.715040261827
33,-2021.7387380812065
34,-2021.7372551374447
35,-2021.8443233075889
36,-2021.8092414504856
37,-2021.7503690688154
38,-2021.690919447368
39,-2021.9629895220808
40,-2021.958493386405
41,-2021.9009321714816
42,-2021.9254330442257
43,-2021.9507494624945
44,-2021.9729325623107
45,-2021.992972345657
46,-2021.9747143375337
47,-2021.984498976559
48,-2021.9493686828748
49,-2021.9566727233935
50,-2022.252747967723
